age,class_of_worker,industry_code,occupation_code,education,wage_per_hour,enrolled_in_edu_inst_lastwk,marital_status,major_industry_code,major_occupation_code,race,hispanic_origin,sex,member_of_labor_union,reason_for_unemployment,full_parttime_employment_stat,capital_gains,capital_losses,dividend_from_Stocks,tax_filer_status,region_of_previous_residence,state_of_previous_residence,d_household_family_stat,d_household_summary,live_1_year_ago,num_person_Worked_employer,family_members_under_18,country_father,country_mother,country_self,citizenship,business_or_self_employed,fill_questionnaire_veteran_admin,veterans_benefits,weeks_worked_in_year,year,income_level
68, Self-employed-not incorporated,42,12, Associates degree-occup /vocational,0, Not in universe, Married-civilian spouse present, Education, Professional specialty, White, All other, Male, No, Not in universe, Full-time schedules,8,0,2371, Joint both under 65, Not in universe,Vermont, Householder, Householder, Not in universe under 1 year old,6, Not in universe, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,2,52,95,1
53, Private,33,30, High school graduate,711, Not in universe, Married-civilian spouse present, Retail trade, Other service, White, All other, Female, No, Not in universe, Full-time schedules,0,1,6, Joint both under 65, Not in universe,Rhode Island, Spouse of householder, Spouse of householder, Not in universe under 1 year old,1, Not in universe, United-States, United-States, United-States, Native- Born in the United States,2, Not in universe,2,52,95,0
1, Not in universe,0,0, Children,0, Not in universe, Never married, Not in universe or children, Not in universe, White, All other, Male, Not in universe, Not in universe, Children or Armed Forces,10,0,8, Nonfiler, Not in universe,Indiana, Child <18 never marr not in subfamily, Child under 18 never married, Not in universe under 1 year old,0, Both parents present, United-States, United-States, United-States, Native- Born in the United States,0, Not in universe,0,0,95,0
3,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,White,Mexican (Mexicano),Female,Not in universe,Not in universe,Children or Armed Forces,4,0,4,Nonfiler, Midwest,Utah,Child <18 never marr not in subfamily,Child under 18 never married,No,0,Both parents present,Mexico,Dominican-Republic,Dominican-Republic,Foreign born- Not a citizen of U S,0,Not in universe,0,0,94,0
0,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,Asian or Pacific Islander,All other,Female,Not in universe,Not in universe,Children or Armed Forces,0,0,7,Nonfiler,Not in universe,Louisiana,Child <18 never marr not in subfamily,Child under 18 never married,Not in universe under 1 year old,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,95,0
47,Private,33,17,Masters degree(MA MS MEng MEd MSW MBA),0,Not in universe,Married-civilian spouse present,Finance insurance and real estate,Executive admin and managerial,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,0,0,152,Joint both under 65,Northeast,New Mexico,Householder,Spouse of householder,No,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,2,Not in universe,2,52,94,1
6,Not in universe,0,0,Children,0,Not in universe,Never married,Not in universe or children,Not in universe,White,Mexican-American,Female,Not in universe,Not in universe,Children or Armed Forces,12,0,0,Nonfiler,Not in universe,Louisiana,Child <18 never marr not in subfamily,Child under 18 never married,Yes,0,Both parents present,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,0,0,94,0
54, Private,39,26, High school graduate,0, Not in universe, Married-civilian spouse present, Retail trade, Adm support including clerical, Other, Cuban, Female, Not in universe, Not in universe, Children or Armed Forces,0,0,3, Joint both under 65, Not in universe,Indiana, Spouse of householder, Spouse of householder, Yes,5, Not in universe, ?, ?, ?, Foreign born- Not a citizen of U S ,0, Not in universe,2,52,94,0
16,Private,10,35,7th and 8th grade,0,Not in universe,Never married,Entertainment,Precision production craft & repair,White,All other,Male,Not in universe,Not in universe,Children or Armed Forces,4,0,10,Single,West,South Carolina,Secondary individual,Nonrelative of householder,No,6,Not in universe,United-States,United-States,United-States,Native- Born in the United States,0,Not in universe,2,52,94,0
56,Private,29,35,High school graduate,0,Not in universe,Married-civilian spouse present,Transportation,Precision production craft & repair,White,Other Spanish,Male,Not in universe,Not in universe,Full-time schedules,0,0,5,Joint both under 65,Not in universe,Hawaii,Householder,Householder,Not in universe under 1 year old,6,Not in universe,China,,,Native- Born abroad of American Parent(s),0,Not in universe,2,41,95,1
